"Top","Area","Path","Name","Type","KeepLocal","MoveCentral","Length","Sha256"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/.markdownlint.json",".markdownlint.json","OTHER","Review","Review","120","53701c87c77b2142d290cce05d2648a69f7abd7e72da0c896a753bd51eeb0c2f"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/01-purpose-and-audience.md","01-purpose-and-audience.md","OTHER","Review","Review","503","c4b6a8bf378ea60ff68f24f42decf99947a48a1ac33172db793e03e344734878"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/02-service-overview.md","02-service-overview.md","USAGE","Yes","Optional summary","1682","a4f23327a53ff80d3cf1c3be8ea6fc6002f1741cb75a714db706bb412e07eb48"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/03-roles-and-governance.md","03-roles-and-governance.md","OTHER","Review","Review","871","d2794ffab1ae04e9a53b7af9508c42f0c9b1be49cff840bf14bc55bd641de3d4"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/04-service-transition.md","04-service-transition.md","OTHER","Review","Review","840","71f36e0697328c5f87f627780666432290b47d0086dba85c7af73e6f87a88166"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/05-end-user-guide.md","05-end-user-guide.md","USAGE","Yes","Optional summary","844","53a60fff7cf815234ee6adfa5c583416f907acea04cef812f9af5ea3fd12beab"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/06-administration.md","06-administration.md","OTHER","Review","Review","3281","415fb2c38200c1f9b06c159e62ceba9f47d37dfbfbe55fd4ecd0414d7724ce9d"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/07-operations-and-support.md","07-operations-and-support.md","EXECUTION","Product-specific only","Central pattern","1195","fa01591f2347a9c61e807b5f01bddaa9dfe792a3bc7d3d8c766d281f0747912a"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/08-change-management.md","08-change-management.md","OTHER","Review","Review","1294","2ba102135f5036b86d6ca4e3e3d01aa618a33ab9b370e47867e36d5af3df0f76"
"Asset-Command-Centre","customer-docs","Asset-Command-Centre/customer-docs/asset-command-center/09-security.md","09-security.md","OTHER","Review","Review","1186","c728e823a8985dbde4ee062f2abe72ed388ceaaf61d84d206b651fe3313a6364"
