"Count","Name","Tops","Paths"
"18","README.md","Asset-Command-Centre, audit-assurance-node, Audit-Tool-, AuditToolkit-Control-Centre, AuditToolkit-Docs, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/playbooks/discovery/README.md | Asset-Command-Centre/customer-docs/asset-command-center/README.md | Asset-Command-Centre/customer-docs/README.md | Asset-Command-Centre/README.md | audit-assurance-node/README.md | Audit-Tool-/customer-docs/README.md | Audit-Tool-/customer-docs/screenshots/README.md | Audit-Tool-/docs/screenshots/README.md | Audit-Tool-/README.md | AuditToolkit-Control-Centre/README.md | AuditToolkit-Docs/README.md | audittoolkit-linux-security-lite/customer-docs/README.md | audittoolkit-linux-security-lite/customer-docs/screenshots/README.md | audittoolkit-linux-security-lite/README.md | cmdb-api-data-collection-tool/customer-docs/README.md | cmdb-api-data-collection-tool/README.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/README.md | Switch-Exposure-Center/README.md"
"7","index.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/index.md | Audit-Tool-/customer-docs/index.md | Audit-Tool-/docs/INDEX.md | audittoolkit-linux-security-lite/customer-docs/index.md | audittoolkit-linux-security-lite/docs/INDEX.md | cmdb-api-data-collection-tool/customer-docs/index.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/index.md"
"6","LICENSING.md","Asset-Command-Centre, audit-assurance-node, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/docs/LICENSING.md | audit-assurance-node/docs/LICENSING.md | Audit-Tool-/docs/LICENSING.md | audittoolkit-linux-security-lite/docs/LICENSING.md | cmdb-api-data-collection-tool/docs/LICENSING.md | Switch-Exposure-Center/docs/LICENSING.md"
"5","12-appendices.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/12-appendices.md | Audit-Tool-/customer-docs/12-appendices.md | audittoolkit-linux-security-lite/customer-docs/12-appendices.md | cmdb-api-data-collection-tool/customer-docs/12-appendices.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/12-appendices.md"
"5","11-continual-improvement.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/11-continual-improvement.md | Audit-Tool-/customer-docs/11-continual-improvement.md | audittoolkit-linux-security-lite/customer-docs/11-continual-improvement.md | cmdb-api-data-collection-tool/customer-docs/11-continual-improvement.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/11-continual-improvement.md"
"5","10-monitoring-and-reporting.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/10-monitoring-and-reporting.md | Audit-Tool-/customer-docs/10-monitoring-and-reporting.md | audittoolkit-linux-security-lite/customer-docs/10-monitoring-and-reporting.md | cmdb-api-data-collection-tool/customer-docs/10-monitoring-and-reporting.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/10-monitoring-and-reporting.md"
"5","08-change-management.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/08-change-management.md | Audit-Tool-/customer-docs/08-change-management.md | audittoolkit-linux-security-lite/customer-docs/08-change-management.md | cmdb-api-data-collection-tool/customer-docs/08-change-management.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/08-change-management.md"
"5","07-operations-and-support.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/07-operations-and-support.md | Audit-Tool-/customer-docs/07-operations-and-support.md | audittoolkit-linux-security-lite/customer-docs/07-operations-and-support.md | cmdb-api-data-collection-tool/customer-docs/07-operations-and-support.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/07-operations-and-support.md"
"5","OFFLINE-LICENSING.md","Asset-Command-Centre, audit-assurance-node, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/docs/OFFLINE-LICENSING.md | audit-assurance-node/docs/OFFLINE-LICENSING.md | audittoolkit-linux-security-lite/docs/OFFLINE-LICENSING.md | cmdb-api-data-collection-tool/docs/OFFLINE-LICENSING.md | Switch-Exposure-Center/docs/OFFLINE-LICENSING.md"
"5","06-administration.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/06-administration.md | Audit-Tool-/customer-docs/06-administration.md | audittoolkit-linux-security-lite/customer-docs/06-administration.md | cmdb-api-data-collection-tool/customer-docs/06-administration.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/06-administration.md"
"5","09-security.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/09-security.md | Audit-Tool-/customer-docs/09-security.md | audittoolkit-linux-security-lite/customer-docs/09-security.md | cmdb-api-data-collection-tool/customer-docs/09-security.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/09-security.md"
"5","04-service-transition.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/04-service-transition.md | Audit-Tool-/customer-docs/04-service-transition.md | audittoolkit-linux-security-lite/customer-docs/04-service-transition.md | cmdb-api-data-collection-tool/customer-docs/04-service-transition.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/04-service-transition.md"
"5","03-roles-and-governance.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/03-roles-and-governance.md | Audit-Tool-/customer-docs/03-roles-and-governance.md | audittoolkit-linux-security-lite/customer-docs/03-roles-and-governance.md | cmdb-api-data-collection-tool/customer-docs/03-roles-and-governance.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/03-roles-and-governance.md"
"5",".markdownlint.json","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/.markdownlint.json | Audit-Tool-/customer-docs/.markdownlint.json | audittoolkit-linux-security-lite/customer-docs/.markdownlint.json | cmdb-api-data-collection-tool/customer-docs/.markdownlint.json | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/.markdownlint.json"
"5","01-purpose-and-audience.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/01-purpose-and-audience.md | Audit-Tool-/customer-docs/01-purpose-and-audience.md | audittoolkit-linux-security-lite/customer-docs/01-purpose-and-audience.md | cmdb-api-data-collection-tool/customer-docs/01-purpose-and-audience.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/01-purpose-and-audience.md"
"4","13-integration-quick-starts.md","Asset-Command-Centre, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool, Switch-Exposure-Center","Asset-Command-Centre/customer-docs/asset-command-center/13-integration-quick-starts.md | audittoolkit-linux-security-lite/customer-docs/13-integration-quick-starts.md | cmdb-api-data-collection-tool/customer-docs/13-integration-quick-starts.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/13-integration-quick-starts.md"
"4","05-end-user-guide.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/05-end-user-guide.md | Audit-Tool-/customer-docs/05-end-user-guide.md | audittoolkit-linux-security-lite/customer-docs/05-end-user-guide.md | cmdb-api-data-collection-tool/customer-docs/05-end-user-guide.md"
"4","02-service-overview.md","Asset-Command-Centre, Audit-Tool-, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/02-service-overview.md | Audit-Tool-/customer-docs/02-service-overview.md | audittoolkit-linux-security-lite/customer-docs/02-service-overview.md | cmdb-api-data-collection-tool/customer-docs/02-service-overview.md"
"3","15-quick-start-siem-integration.md","Asset-Command-Centre, audittoolkit-linux-security-lite, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/15-quick-start-siem-integration.md | audittoolkit-linux-security-lite/customer-docs/15-quick-start-siem-integration.md | cmdb-api-data-collection-tool/customer-docs/15-quick-start-siem-integration.md"
